partID,productLine,prodCategory
part37c8954,line60,Machines
part3c394c5,line60,Machines
part4c4a453,line60,Machines
part4032db6,line60,Machines
part041d20,line60,Machines
part13a370d,line60,Machines
part0f85d3a,line60,Machines
part4752188,line60,Machines
partbd316e6,linec1,Marketables
part916ad29,line55,SpareParts
partfe21a2e,line60,Machines
part4cef9a7,line60,Machines
part6d62dd5,line60,Machines
partcd64b2b,line60,Machines
part0f3ebc1,line4b,Machines
part7f4db57,line4b,Machines
part9e8f5b8,lined6,Liquids
part50e1738,lined6,Liquids
part6647a86,lined6,Liquids
parta4b6ee8,line60,Machines
part451bb96,line55,SpareParts
part5b9a10b,line55,SpareParts
part371b72e,linea3,Marketables
partd421717,line9b,Machines
partdd095ff,line55,SpareParts
part92dd511,line4b,Machines
partf5adea5,line4b,Machines
part912ae4c,line4b,Machines
part134f6c5,line55,SpareParts
part166dff3,line55,SpareParts
partdb2881,lined6,Liquids
parta0ec19f,lined6,Liquids
part4c72956,lined6,Liquids
partaa3bcf5,lined6,Liquids
part4adddd9,lined6,Liquids
part315f0de,lined6,Liquids
partf805f64,lined6,Liquids
part6890ede,lined6,Liquids
partea55c00,lined6,Liquids
part7ac0dba,lined6,Liquids
part4b0a4c0,lined6,Liquids
partfe56377,lined6,Liquids
partabec5ec,lined6,Liquids
part3dd60d9,lined6,Liquids
part686c642,lined6,Liquids
part85d4e70,lined6,Liquids
partb168a2a,lined6,Liquids
part4a2c43b,lined6,Liquids
part193962f,lined6,Liquids
part900d960,lined6,Liquids
partb9bc688,lined6,Liquids
partba997bb,lined6,Liquids
partb7cafdb,lined6,Liquids
part8175a49,lined6,Liquids
partd5e9c29,lined6,Liquids
part176bd5,lined6,Liquids
part168cf37,lined6,Liquids
part394d984,line7a,Machines
part7dbfd97,line7a,Machines
part6abc6b5,line7a,Machines
partd305300,line56,Machines
part43902ba,line56,Machines
partd31aecd,line56,Machines
partcd9b450,line56,Machines
part8cec65,line90,Machines
part67fc7b9,line90,Machines
part89e351f,line61,Machines
part9762f82,line61,Machines
partd287898,line60,Machines
part3b6b4fc,line55,SpareParts
parta0c499e,line60,Machines
part84af7c7,line60,Machines
partead588b,line55,SpareParts
part0068c14,linec1,Marketables
part701bc82,linec1,Marketables
part9b0c03f,linec1,Marketables
parteb7f0a9,linec1,Marketables
part18e8315,line55,SpareParts
part760908b,line60,Machines
part6a2fabc,line60,Machines
part885113,line55,SpareParts
part07c8896,line55,SpareParts
partc3dd769,line55,SpareParts
partb20cfab,line55,SpareParts
partc885ff6,line55,SpareParts
partaa33051,line61,Machines
partd3c2178,line61,Machines
partfdf7c6f,line60,Machines
parteefc52e,lined6,Liquids
part79e00e0,lined6,Liquids
part5a86262,lined6,Liquids
part86a1baa,lined6,Liquids
partbaa054f,line60,Machines
partcad35d9,line60,Machines
part2b1340e,line60,Machines
part54cff2b,linea3,Marketables
partc90478f,linea3,Marketables
partc57ce6a,linea3,Marketables
part55e9fd0,linea3,Marketables
part2335bc9,linea3,Marketables
part5346b5f,linea3,Marketables
part8b76ce,linea3,Marketables
part28c4658,linea3,Marketables
part8e52999,line9b,Machines
partfff9724,line55,SpareParts
partacab01,line9b,Machines
part5c83ea2,line9b,Machines
part9178edc,line60,Machines
partf9bfbe1,linec1,Marketables
partd43369e,line9b,Machines
part9e89fff,linec1,Marketables
part957826e,linec1,Marketables
part9900b8b,linec1,Marketables
part27ad1ad,linec1,Marketables
part8ee9d0b,line9b,Machines
part99694e,line9b,Machines
part53f1225,linec1,Marketables
parta6a34fc,line55,SpareParts
part5b4fbb7,line39,Machines
part8c30ff2,line39,Machines
partcc7accc,line9b,Machines
